#Gene	Expressed Allele
ABCC9	maternal
ABCG8	maternal
ACD	maternal
ADAMTS16	maternal
ALDH1L1	maternal
ANO1	maternal
APBA1	paternal
ATP10A	maternal
B4GALNT4	maternal
BLCAP	both
BMP8B	paternal
C10ORF91	maternal
C9ORF116	paternal
C9ORF85	paternal
CALCR	maternal
CCDC85A	paternal
CDH18	paternal
CDK4	maternal
CDKN1C	maternal
CELF4	maternal
CFAP46	maternal
CHMP2A	maternal
CHST8	maternal
COL9A3	maternal
COPG2IT1	paternal
COPS9	paternal
CPA4	maternal
CRYBG1	paternal
CSF2	maternal
CTNNA3	maternal
DCN	both
DDC	both
DIRAS3	paternal
DLGAP2	paternal
DLK1	paternal
DLX5	maternal
DMTN	both
DNMT1	paternal
DVL1	maternal
E2F7	maternal
EGFL7	paternal
ELOA3	maternal
EVX1	paternal
FAM50B	paternal
FASTK	maternal
FERMT2	paternal
FGFRL1	maternal
FOXF1	maternal
FOXG1	paternal
FUCA1	paternal
GABRA5	paternal
GABRB3	paternal
GABRG3	paternal
GAREM1	paternal
GATA3	paternal
GATM	both
GDAP1L1	paternal
GFI1	paternal
GLI3	maternal
GLIS3	paternal
GNAS	both
GNAS-AS1	paternal
GPR1	paternal
GPT	maternal
GRB10	both
H19	maternal
HES1	paternal
HIST3H2BB	maternal
HM13	both
HOXA11	maternal
HOXA2	maternal
HOXA3	maternal
HOXA4	maternal
HOXA5	maternal
HOXC4	maternal
HOXC9	maternal
HSPA6	maternal
HTR2A	maternal
HYMAI	paternal
IFITM1	maternal
IGF2	paternal
IGF2-AS	paternal
INPP5F	paternal
INS	paternal
IRAIN	paternal
ISM1	paternal
KBTBD3	paternal
KCNK9	maternal
KCNQ1	maternal
KCNQ1DN	maternal
KCNQ1OT1	paternal
KLF14	maternal
LDB1	maternal
LILRB4	maternal
LIN28B	paternal
LMX1B	maternal
LRRTM1	paternal
LY6D	paternal
MAGEL2	paternal
MAGI2	maternal
MCTS2P	paternal
MEG3	maternal
MEG8	maternal
MEST	paternal
MESTIT1	paternal
MIMT1	paternal
MIR371A	paternal
MKRN3	paternal
MPC1	paternal
MRAP2	paternal
MZF1	maternal
NAA60	maternal
NAP1L4	both
NAP1L5	paternal
NDN	paternal
NDUFA4P1	paternal
NKAIN3	paternal
NKX6-2	maternal
NLRP2	maternal
NNAT	paternal
NPAP1	both
NTM	maternal
OBSCN	paternal
OR11L1	paternal
OSBPL5	maternal
OTX1	maternal
PAOX	maternal
PEG10	paternal
PEG13	paternal
PEG3	paternal
PEX10	maternal
PHLDA2	maternal
PHPT1	maternal
PKP3	maternal
PLAGL1	paternal
PLPP2	maternal
PON1	maternal
PPP1R9A	maternal
PRDM16	paternal
PTPN14	maternal
PURG	paternal
RAB1B	maternal
RASGRF1	both
RB1	maternal
RBP5	maternal
RNU5D-1	paternal
RPL22	paternal
RTL1	paternal
SALL1	maternal
SDHD	paternal
SGCE	paternal
SGK2	paternal
SLC22A18	maternal
SLC22A18AS	maternal
SLC22A2	maternal
SLC22A3	maternal
SLC26A10	maternal
SLC38A4	both
SLC4A2	maternal
SNORD107	paternal
SNORD108	paternal
SNORD109A	paternal
SNORD109B	paternal
SNORD115-48	paternal
SNORD115@	paternal
SNORD116@	paternal
SNORD64	paternal
SNRPN	paternal
SNURF	paternal
SOX8	paternal
SPON2	paternal
TFPI2	maternal
TH	both
TIGD1	paternal
TMEM255B	maternal
TMEM52	paternal
TMEM60	paternal
TMEM88	maternal
TP73	maternal
TRPM5	paternal
TSHZ3	paternal
UBE3A	maternal
USB1	maternal
USP29	both
UVSSA	maternal
VAX2	maternal
VENTX	maternal
VTRNA2-1	paternal
WRAP73	maternal
WT1	paternal
WT1-AS	paternal
ZC3H12C	paternal
ZDBF2	paternal
ZFAT	paternal
ZFAT-AS1	paternal
ZFP36L2	maternal
ZIC1	maternal
ZIM2	paternal
ZIM3	both
ZNF215	maternal
ZNF225	paternal
ZNF229	maternal
ZNF264	both
ZNF597	maternal
